Title,Subject Description,Course Number,Section,Hours,CRN,Term,Instructor,Meeting Times,Campus,Status,Attribute
Database Management Systems (Lecture),Computer Science,5200,13,4,18579,Fall 2025 Semester,"Amjad, Tehmina (Primary)",Tuesday and Thursday 11:00 AM - 12:40 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",26 of 40 seats remain. 20 of 20 waitlist seats remain. ,"GSCS Computer & Info Science, NUpath Analyzing/Using Data"
Computer Graphics (Lecture),Computer Science,5310,2,4,18582,Fall 2025 Semester,"Chen, Crane (Primary)",Monday 03:00 PM - 06:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",14 of 15 seats remain. 10 of 10 waitlist seats remain. ,"GSCS Computer & Info Science, NU Core Capstone, NUpath Capstone Experience, NU Core Writing Intsv in Majr, NUpath Writing Intensive"
Computer/Human Interaction (Lecture),Computer Science,5340,6,4,18594,Fall 2025 Semester,"Bayat, Akram (Primary)",Tuesday 09:00 AM - 12:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",24 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSCS Computer & Info Science
Foundations of Software Engineering (Lecture),Computer Science,5500,7,4,18602,Fall 2025 Semester,TBD,Friday 09:00 AM - 12:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",FULL: 0 of 55 seats remain. 12 of 30 waitlist seats remain. ,"GSCS Computer & Info Science, NU Core Writing Intsv in Majr, NUpath Writing Intensive"
Fundamentals of Computer Networking (Lecture),Computer Science,5700,3,4,18620,Fall 2025 Semester,"Hamandi, Lama (Primary)",Wednesday 01:00 PM - 04:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",14 of 35 seats remain. 20 of 20 waitlist seats remain. ,GSCS Computer & Info Science
Algorithms (Lecture),Computer Science,5800,16,4,18636,Fall 2025 Semester,"Hamandi, Lama (Primary)",Tuesday 01:00 PM - 04:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",29 of 50 seats remain. 30 of 30 waitlist seats remain. ,"GSCS Computer & Info Science, NUpath Formal/Quant Reasoning"
Algorithms (Lecture),Computer Science,5800,17,4,18637,Fall 2025 Semester,"Bayat, Akram (Primary)",Wednesday 09:00 AM - 12:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",1 of 50 seats remain. 21 of 30 waitlist seats remain. ,"GSCS Computer & Info Science, NUpath Formal/Quant Reasoning"
Natural Language Processing (Lecture),Computer Science,6120,4,4,18645,Fall 2025 Semester,"Ni, Karl (Primary)",Monday 04:00 PM - 07:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",17 of 55 seats remain. 30 of 30 waitlist seats remain. ,GSCS Computer & Info Science
Machine Learning (Lecture),Computer Science,6140,6,4,18653,Fall 2025 Semester,"Toutiaee, Mohammadhossein (Primary)",Tuesday 03:00 PM - 06:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",19 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSCS Computer & Info Science
Machine Learning (Lecture),Computer Science,6140,7,4,18654,Fall 2025 Semester,"Mukund, Smruthi (Primary)",Wednesday 05:00 PM - 08:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",4 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSCS Computer & Info Science
Advanced Software Development (Lecture),Computer Science,6510,3,4,18666,Fall 2025 Semester,TBD,Friday 03:00 PM - 06:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",30 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSCS Computer & Info Science
Fundamentals of Cloud Computing (Lecture),Computer Science,6620,6,4,18672,Fall 2025 Semester,"Cheng, Zhuoqun (Primary)",Friday 05:00 PM - 08:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",FULL: 0 of 55 seats remain. 0 of 30 waitlist seats remain. ,GSCS Computer & Info Science
Deep Learning (Lecture),Computer Science,7150,1,4,18721,Fall 2025 Semester,"Yoon, Ilmi (Primary)",Thursday 01:00 PM - 04:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",7 of 15 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
